Time;Total_SIF
03.06.2019 12:07;57.12301549
03.06.2019 12:08;68.41911824
03.06.2019 12:08;72.89401674
03.06.2019 12:09;50.75671426
03.06.2019 12:09;74.72813657
03.06.2019 12:10;41.00849438
03.06.2019 12:11;41.17758326
03.06.2019 12:11;57.79200832
03.06.2019 12:12;75.05560661
03.06.2019 12:13;45.83023248
03.06.2019 12:13;49.7617906
03.06.2019 12:14;60.84978444
03.06.2019 12:15;63.82720787
03.06.2019 12:15;55.25255395
03.06.2019 12:16;89.37856643
03.06.2019 12:16;40.06621832
03.06.2019 12:17;52.64290444
03.06.2019 12:18;47.77845089
03.06.2019 12:18;67.67512547
03.06.2019 12:19;51.93548903
03.06.2019 12:20;45.70897525
03.06.2019 12:20;45.06722868
03.06.2019 12:21;39.19750805
03.06.2019 12:22;62.09397734
03.06.2019 12:22;51.9599396
03.06.2019 12:23;55.86142563
03.06.2019 12:23;57.90671183
03.06.2019 12:24;61.25963867
03.06.2019 12:25;33.84672474
03.06.2019 12:25;34.27424371
03.06.2019 12:26;55.75007329
03.06.2019 12:27;47.88855166
03.06.2019 12:27;45.39276215
03.06.2019 12:28;44.37516373
03.06.2019 12:28;58.8864846
03.06.2019 12:29;52.60253687
03.06.2019 12:30;35.85875814
03.06.2019 12:30;47.13703071
03.06.2019 12:31;37.73740409
03.06.2019 12:32;53.66816931
03.06.2019 12:32;52.53640955
03.06.2019 12:33;59.93940418
03.06.2019 12:34;36.45802528
03.06.2019 12:34;33.75494146
03.06.2019 12:35;29.56545268
03.06.2019 12:35;50.15548938
03.06.2019 12:36;47.75699314
03.06.2019 12:37;45.44608143
03.06.2019 12:37;31.63220813
03.06.2019 12:38;37.72033986
03.06.2019 12:39;57.03749528
03.06.2019 12:39;63.34588528
03.06.2019 12:40;61.73667246
03.06.2019 12:41;27.25309409
03.06.2019 12:41;58.27252815
03.06.2019 12:42;48.04194066
03.06.2019 12:42;29.53877762
03.06.2019 12:43;34.91538046
03.06.2019 12:44;59.91933792
03.06.2019 12:44;39.75505259
03.06.2019 12:45;34.27921758
03.06.2019 12:46;56.68720165
03.06.2019 12:46;57.57990062
03.06.2019 12:47;38.35551251
03.06.2019 12:47;40.95483166
03.06.2019 12:48;58.56761866
03.06.2019 12:49;85.33399774
03.06.2019 12:49;66.98357274
03.06.2019 12:50;35.09008318
03.06.2019 12:51;42.45661682
03.06.2019 12:51;41.85442896
03.06.2019 12:52;46.71911754
03.06.2019 12:53;19.1699504
03.06.2019 12:53;13.49429977
03.06.2019 12:54;3.26111136
03.06.2019 12:55;3.463511895
03.06.2019 12:55;4.416394078
03.06.2019 12:56;0.867691806
03.06.2019 12:57;2.1127461
03.06.2019 12:58;0.727108049
03.06.2019 12:58;4.070354955
03.06.2019 12:59;3.106881832
03.06.2019 13:00;3.060632949
03.06.2019 13:01;3.584644864
03.06.2019 13:01;5.711871058
03.06.2019 13:02;5.712834904
03.06.2019 13:03;6.6089204
03.06.2019 13:04;3.614708759
03.06.2019 13:04;3.416513005
03.06.2019 13:05;2.516474395
03.06.2019 13:06;5.160401289
03.06.2019 13:07;3.140344101
03.06.2019 13:07;1.612186988
03.06.2019 13:08;6.209825201
03.06.2019 13:09;5.493198523
03.06.2019 13:10;4.088158993
03.06.2019 13:10;5.602867591
03.06.2019 13:11;6.681600736
03.06.2019 13:12;7.473599533
03.06.2019 13:13;8.685783389
03.06.2019 13:13;4.067862217
03.06.2019 13:14;5.454234356
03.06.2019 13:15;3.796902959
03.06.2019 13:16;5.53166759
03.06.2019 13:17;5.07600853
03.06.2019 13:17;6.004723927
03.06.2019 13:18;5.817702382
03.06.2019 13:19;6.745282664
03.06.2019 13:20;4.675165524
03.06.2019 13:20;5.484904011
03.06.2019 13:21;6.471230669
03.06.2019 13:22;5.857036268
